Rucker A Winifred ,81
Spokane ,81
"""Fashion Shop"" ",80
Bert Leslie Co ,80
Norwood A Hall ,80
Novelty Clintons ,80
The Brads ,80
Wlllard ,80
", Ballet ",79
Harry Tsuda ,79
Lohse A Sterling ,79
Rockwell A Wood ,79
The Randalls ,79
(sAc) ,78
Cervo ,78
Grand ,78
John A Mae Burke ,78
The Rials ,78
Toledo ,78
"""Mimic World"" ",77
(Chattanooga split) ,77
A. ,77
Sarah Padden Co ,77
Wilton Sisters ,77
(uho) ,76
2d half: ,76
Beaumont A Arnold ,76
Brown A Jackson ,76
Chas Kenna ,76
Exposition 4 ,76
Howard A White ,76
Nan Halperln ,76
Oakland ,76
Oscar Lorraine ,76
Primrose Minstrels ,76
Sampson A Douglas ,76
Shoes a Spe- ,76
Sophie Tucker ,76
Una Clayton Co ,76
"""Cranberries"" ",75
(Open Wed Mat) ,75
(miles) ,75
Boston ,75
Cincinnati ,75
Dave Ferguson ,75
El Cleve ,75
Hoyt's Minstrels ,75
Julius Tannen ,75
McKay A Ardlne ,75
Neal Abel ,75
Tom Kelly ,75
Bell Family ,74
Bessie Clayton Co ,74
Clarence Wilbur ,74
Gordon A Rica ,74
Hubert Dyer Co ,74
Landry Bros ,74
Majestic ,74
"Victoria, B. C. ",74
Alexander Bros ,73
Frank Fogarty ,73
Friend A Downing ,73
Hope Vernon ,73
Ist half ,73
Leila Shaw Co ,73
Von Cello ,73
Williams A Wolfus ,73
(Columbia split) ,72
Apollo Trio ,72
Bessie Browning ,72
Claire Rochester ,72
Flanagan A Edwards ,72
Gray A Graham ,72
Milwaukee ,72
Proctor's ,72
The Volunteers ,72
Willie Smith ,72
"""Red Heads"" ",71
Act Beautiful ,71
Baltimore ,71
Dunbar A Turner ,71
Eddie Ross ,71
Emmy's Pets ,71
Eva Shirley ,71
Harry Brooks Co ,71
Jarrow ,71
John Gelger ,71
Lai Mon Kim ,71
Leonard A Louie ,71
Offices ,71
Sandy Shaw ,71
The Bimbos ,71
Ward Bros ,71
Wm Morrow Co ,71
(Four to All) ,70
* ,70
Claude Golden ,70
Elsie White ,70
Master Gabriel Co ,70
Misses Campbell ,70
Montreal ,70
Morris A Allen ,70
Ray Samuels ,70
Valentine A Bell ,70
Van A Schenck ,70
"""Tango Shoes"" ",69
(Five to fill) ,69
Bruce Duffett Co ,69
Buch Bros ,69
Burke A Burke ,69
Carl McCullough ,69
Claire Vincent Co ,69
Harry Cutler ,69
Hoey A Lee ,69
Howard's Ponies ,69
Lew Wilson ,69
Louis London ,69
Marie Nordstrom ,69
Murray K Hill ,69
Mystic Bird ,69
Nichols Sisters ,69
Sully Family ,69
"""Forest Fire"" ",68
(so) ,68
Ambler Bros ,68
Bert Baker Co ,68
Diamond A Brennan ,68
Kennedy A Burt ,68
Knapp A Cornelia ,68
Lew Madden Co ,68
Mr A Mrs J Barry ,68
Ruth Budd ,68
Van Bros ,68
"""Between Trains"" ",67
(Jacksonville split) ,67
Alan Brooks Co ,67
Arnaut Bros ,67
Cecil Cunningham ,67
Claudia Coleman ,67
Collins A Hart ,67
Courtney Sisters ,67
Eddie Leonard Co ,67
Girls ,67
Gordon Highlanders ,67
Josephine Davis ,67
Margaret Farrell ,67
"Portland, Ore. ",67
Robbie Gordone ,67
Smith A Kaufman ,67
"""Petticoats"" ",66
Adelaide A Hughes ,66
Andy Rice ,66
Frank Hartley ,66
Frank Ward ,66
Grace De Mar ,66
Herbert Lloyd Co ,66
Lucy Gillette ,66
Mary Dorr ,66
